leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,page
54a9e94e-e8b0-45ab-9699-08c3b73b4ef8,RANKED_SOLO_5x5,DIAMOND,I,j4s95ElWE-5Ho6tiBfCEbRVX4Qf0g-y68x4Vr3DX4KPzXhlB,minionfeetlover,11,33,41,False,False,False,False,1
50550c53-e4b4-4cb0-acef-4b1fac0cc3f0,RANKED_SOLO_5x5,DIAMOND,I,IoBEXtUuDEc86TJR9tQX5iZdBwHt98qQi0LwDwLoGVwFuTUy,ChefBozo,75,20,11,False,False,False,False,1
ffb951e3-9d5c-41d7-87d4-658f1c4f29f8,RANKED_SOLO_5x5,DIAMOND,I,QpTjDDVov5nfztDERkvkUOx8VgjZGZ_H6KoA-15XuT3TMEXd,kari6,75,75,77,False,False,False,False,1
6b7dfa74-7ecf-4708-90cd-d508ebe15808,RANKED_SOLO_5x5,DIAMOND,I,X-uJezI3s8eqct4ksKpER-8R-IoW06X8kck9WNdrJ3WN1Hkv,YheChen,52,62,62,False,False,False,True,1
54a9e94e-e8b0-45ab-9699-08c3b73b4ef8,RANKED_SOLO_5x5,DIAMOND,I,Le7oML7d1g9aTHkpB_-3DXsNoog2iaU-UYTPi9BsYdW5zFo-,Nuja,44,52,39,False,False,False,False,1
e152fad7-64ad-4eb8-b4da-40a4bbc52df6,RANKED_SOLO_5x5,DIAMOND,I,PaWFlj-u1-zkM4dx6hoamcHu5vEmx5nrcADjw8EVTb0h5Vpi,Týph,11,63,53,False,False,False,True,1
c76c2937-c335-4d03-ae4c-1a9cb1474371,RANKED_SOLO_5x5,DIAMOND,I,gGR-zzLxCiQrSLbYhnokFW5O7Bci2MIBAydq4YLw4x70mA8E,nakyum,0,176,167,False,False,False,False,1
a2b8bdf9-d147-44e0-84e6-4be7287edf3f,RANKED_SOLO_5x5,DIAMOND,I,wRjorqWy7xIGdFntkzRRq1ZamVDiMgJINuE-S9p42aTiuIWK,overpilt,75,251,230,False,False,True,False,1
aeced61f-d7cb-4c7b-8c07-cc94e9752032,RANKED_SOLO_5x5,DIAMOND,I,QVESYXrm4ohUhSGV70ZFkG_lZXzPUu_E2324nZXmz4tqu3ZP,ZE GOD,0,65,56,False,False,False,False,1
3e5f7fec-13e4-4af7-a373-bfe5f2994a7f,RANKED_SOLO_5x5,DIAMOND,I,DZ68jaaByImB5JoQz8Sh9RE5tXmhqgxV4JE8TnZvcfgclUmk,Circlet,75,76,64,False,False,False,False,1
30d10b03-56da-474c-9226-bb3cff6b414f,RANKED_SOLO_5x5,DIAMOND,I,B3GUkN62tTgWi3e3sEtybpia7GV7Acw6LIZZFIftaYIpREwl,BigOssy,75,29,17,False,False,False,False,1
f0e66bd7-ca0e-4dba-9511-184f2965b878,RANKED_SOLO_5x5,DIAMOND,I,JQRcicWAtRxo5i-45crAuMImkZkBbmTMfmyoZDSfqFA8IQCq,FC Arcana,26,121,116,False,False,True,True,1
